"scientificname","order","class"
"Abramis brama","Cypriniformes","Teleostei"
"Acantholabrus palloni","Eupercaria incertae sedis","Teleostei"
"Adinaefiola ligulata","Sepiolida","Cephalopoda"
"Adinaefiola pfefferi","Sepiolida","Cephalopoda"
"Agonus cataphractus","Perciformes","Teleostei"
"Alburnus alburnus","Cypriniformes","Teleostei"
"Alloteuthis media","Myopsida","Cephalopoda"
"Alloteuthis subulata","Myopsida","Cephalopoda"
"Alopias vulpinus","Lamniformes","Elasmobranchii"
"Alosa agone","Clupeiformes","Teleostei"
"Alosa alosa","Clupeiformes","Teleostei"
"Alosa fallax","Clupeiformes","Teleostei"
"Amblyraja radiata","Rajiformes","Elasmobranchii"
"Ammodytes marinus","Perciformes","Teleostei"
"Ammodytes tobianus","Perciformes","Teleostei"
"Anarhichas lupus","Perciformes","Teleostei"
"Anarhichas minor","Perciformes","Teleostei"
"Anarrhichthys ocellatus","Perciformes","Teleostei"
"Anguilla anguilla","Anguilliformes","Teleostei"
"Aphia minuta","Gobiiformes","Teleostei"
"Apletodon dentatus","Gobiesociformes","Teleostei"
"Arctozenus risso","Aulopiformes","Teleostei"
"Argentina silus","Argentiniformes","Teleostei"
"Argentina sphyraena","Argentiniformes","Teleostei"
"Argyropelecus olfersii","Stomiiformes","Teleostei"
"Arnoglossus imperialis","Pleuronectiformes","Teleostei"
"Arnoglossus laterna","Pleuronectiformes","Teleostei"
"Arnoglossus thori","Pleuronectiformes","Teleostei"
"Artediellus atlanticus","Perciformes","Teleostei"
"Atherina boyeri","Atheriniformes","Teleostei"
"Atherina presbyter","Atheriniformes","Teleostei"
"Balistes capriscus","Tetraodontiformes","Teleostei"
"Bathyraja brachyurops","Rajiformes","Elasmobranchii"
"Belone belone","Beloniformes","Teleostei"
"Blennius ocellaris","Blenniiformes","Teleostei"
"Borostomias mononema","Stomiiformes","Teleostei"
"Brama brama","Scombriformes","Teleostei"
"Brosme brosme","Gadiformes","Teleostei"
"Buenia jeffreysii","Gobiiformes","Teleostei"
"Buglossidium luteum","Pleuronectiformes","Teleostei"
"Callionymus lyra","Callionymiformes","Teleostei"
"Callionymus maculatus","Callionymiformes","Teleostei"
"Callionymus reticulatus","Callionymiformes","Teleostei"
"Capros aper","Acanthuriformes","Teleostei"
"Caspiosoma caspium","Gobiiformes","Teleostei"
"Centrolabrus exoletus","Eupercaria incertae sedis","Teleostei"
"Centrophorus granulosus","Squaliformes","Elasmobranchii"
"Cepola macrophthalma","Eupercaria incertae sedis","Teleostei"
"Cetorhinus maximus","Lamniformes","Elasmobranchii"
"Chelidonichthys cuculus","Perciformes","Teleostei"
"Chelidonichthys lastoviza","Perciformes","Teleostei"
"Chelidonichthys lucerna","Perciformes","Teleostei"
"Chelidonichthys obscurus","Perciformes","Teleostei"
"Chelon auratus","Mugiliformes","Teleostei"
"Chelon labrosus","Mugiliformes","Teleostei"
"Chelon ramada","Mugiliformes","Teleostei"
"Chirolophis ascanii","Perciformes","Teleostei"
"Ciliata mustela","Gadiformes","Teleostei"
"Ciliata septentrionalis","Gadiformes","Teleostei"
"Clupea harengus","Clupeiformes","Teleostei"
"Clupeichthys aesarnensis","Clupeiformes","Teleostei"
"Coelorinchus caelorhincus","Gadiformes","Teleostei"
"Conger conger","Anguilliformes","Teleostei"
"Coregonus clupeaformis","Salmoniformes","Teleostei"
"Coregonus oxyrinchus","Salmoniformes","Teleostei"
"Coryphaenoides guentheri","Gadiformes","Teleostei"
"Coryphaenoides rupestris","Gadiformes","Teleostei"
"Cottunculus microps","Perciformes","Teleostei"
"Cottus gobio","Perciformes","Teleostei"
"Cottus rhenanus","Perciformes","Teleostei"
"Crystallogobius linearis","Gobiiformes","Teleostei"
"Ctenolabrus rupestris","Eupercaria incertae sedis","Teleostei"
"Cyclopterus lumpus","Perciformes","Teleostei"
"Dasyatis pastinaca","Myliobatiformes","Elasmobranchii"
"Dasyatis tortonesei","Myliobatiformes","Elasmobranchii"
"Dicentrarchus labrax","Eupercaria incertae sedis","Teleostei"
"Diplecogaster bimaculata","Gobiesociformes","Teleostei"
"Dipturus batis","Rajiformes","Elasmobranchii"
"Dipturus flossada","Rajiformes","Elasmobranchii"
"Dipturus intermedius","Rajiformes","Elasmobranchii"
"Dipturus oxyrinchus","Rajiformes","Elasmobranchii"
"Echiichthys vipera","Perciformes","Teleostei"
"Echiodon drummondii","Ophidiiformes","Teleostei"
"Eledone cirrhosa","Octopoda","Cephalopoda"
"Enchelyopus cimbrius","Gadiformes","Teleostei"
"Engraulis encrasicolus","Clupeiformes","Teleostei"
"Entelurus aequoreus","Syngnathiformes","Teleostei"
"Etmopterus spinax","Squaliformes","Elasmobranchii"
"Eutrigla gurnardus","Perciformes","Teleostei"
"Gadiculus argenteus","Gadiformes","Teleostei"
"Gadiculus thori","Gadiformes","Teleostei"
"Gadus morhua","Gadiformes","Teleostei"
"Gaidropsarus argentatus","Gadiformes","Teleostei"
"Gaidropsarus macrophthalmus","Gadiformes","Teleostei"
"Gaidropsarus mediterraneus","Gadiformes","Teleostei"
"Gaidropsarus vulgaris","Gadiformes","Teleostei"
"Galeorhinus galeus","Carcharhiniformes","Elasmobranchii"
"Galeus melastomus","Carcharhiniformes","Elasmobranchii"
"Gasterosteus aculeatus","Perciformes","Teleostei"
"Glyptocephalus cynoglossus","Pleuronectiformes","Teleostei"
"Gobius auratus","Gobiiformes","Teleostei"
"Gobius cobitis","Gobiiformes","Teleostei"
"Gobius gasteveni","Gobiiformes","Teleostei"
"Gobius niger","Gobiiformes","Teleostei"
"Gobius paganellus","Gobiiformes","Teleostei"
"Gonatus fabricii","Oegopsida","Cephalopoda"
"Gymnammodytes semisquamatus","Perciformes","Teleostei"
"Gymnocephalus cernua","Perciformes","Teleostei"
"Helicolenus dactylopterus","Perciformes","Teleostei"
"Heterodontus ramalheira","Heterodontiformes","Elasmobranchii"
"Hippocampus guttulatus","Syngnathiformes","Teleostei"
"Hippocampus hippocampus","Syngnathiformes","Teleostei"
"Hippoglossoides platessoides","Pleuronectiformes","Teleostei"
"Hippoglossus hippoglossus","Pleuronectiformes","Teleostei"
"Hyperoplus immaculatus","Perciformes","Teleostei"
"Hyperoplus lanceolatus","Perciformes","Teleostei"
"Icelus bicornis","Perciformes","Teleostei"
"Illex coindetii","Oegopsida","Cephalopoda"
"Illex illecebrosus","Oegopsida","Cephalopoda"
"Labrus bergylta","Eupercaria incertae sedis","Teleostei"
"Labrus merula","Eupercaria incertae sedis","Teleostei"
"Labrus mixtus","Eupercaria incertae sedis","Teleostei"
"Lactarius lactarius","Carangaria incertae sedis","Teleostei"
"Lamna nasus","Lamniformes","Elasmobranchii"
"Lampris guttatus","Lampriformes","Teleostei"
"Lepadogaster candolii","Gobiesociformes","Teleostei"
"Lepadogaster lepadogaster","Gobiesociformes","Teleostei"
"Lepadogaster purpurea","Gobiesociformes","Teleostei"
"Lepidorhombus boscii","Pleuronectiformes","Teleostei"
"Lepidorhombus whiffiagonis","Pleuronectiformes","Teleostei"
"Leptagonus decagonus","Perciformes","Teleostei"
"Leptoclinus maculatus","Perciformes","Teleostei"
"Lesueurigobius friesii","Gobiiformes","Teleostei"
"Leucoraja circularis","Rajiformes","Elasmobranchii"
"Leucoraja fullonica","Rajiformes","Elasmobranchii"
"Leucoraja lentiginosa","Rajiformes","Elasmobranchii"
"Leucoraja naevus","Rajiformes","Elasmobranchii"
"Limanda limanda","Pleuronectiformes","Teleostei"
"Liparis liparis","Perciformes","Teleostei"
"Liparis montagui","Perciformes","Teleostei"
"Loligo forbesii","Myopsida","Cephalopoda"
"Loligo vulgaris","Myopsida","Cephalopoda"
"Lophius budegassa","Lophiiformes","Teleostei"
"Lophius piscatorius","Lophiiformes","Teleostei"
"Lumpenus lampretaeformis","Perciformes","Teleostei"
"Lycenchelys sarsii","Perciformes","Teleostei"
"Lycodes gracilis","Perciformes","Teleostei"
"Lycodes vahlii","Perciformes","Teleostei"
"Lycodonus flagellicauda","Perciformes","Teleostei"
"Macroramphosus scolopax","Syngnathiformes","Teleostei"
"Malacocephalus laevis","Gadiformes","Teleostei"
"Maurolicus muelleri","Stomiiformes","Teleostei"
"Melanogrammus aeglefinus","Gadiformes","Teleostei"
"Merlangius merlangus","Gadiformes","Teleostei"
"Merluccius merluccius","Gadiformes","Teleostei"
"Micrenophrys lilljeborgii","Perciformes","Teleostei"
"Microchirus variegatus","Pleuronectiformes","Teleostei"
"Micromesistius poutassou","Gadiformes","Teleostei"
"Microstomus kitt","Pleuronectiformes","Teleostei"
"Mola mola","Tetraodontiformes","Teleostei"
"Molva dypterygia","Gadiformes","Teleostei"
"Molva molva","Gadiformes","Teleostei"
"Mugil cephalus","Mugiliformes","Teleostei"
"Mullus barbatus","Mulliformes","Teleostei"
"Mullus surmuletus","Mulliformes","Teleostei"
"Mustelus asterias","Carcharhiniformes","Elasmobranchii"
"Mustelus mustelus","Carcharhiniformes","Elasmobranchii"
"Myoxocephalus scorpioides","Perciformes","Teleostei"
"Myoxocephalus scorpius","Perciformes","Teleostei"
"Neogobius melanostomus","Gobiiformes","Teleostei"
"Nerophis lumbriciformis","Syngnathiformes","Teleostei"
"Nerophis ophidion","Syngnathiformes","Teleostei"
"Notacanthus chemnitzii","Notacanthiformes","Teleostei"
"Notoscopelus kroyeri","Myctophiformes","Teleostei"
"Octopus vulgaris","Octopoda","Cephalopoda"
"Ophidion barbatum","Ophidiiformes","Teleostei"
"Osmerus eperlanus","Osmeriformes","Teleostei"
"Pagellus acarne","Eupercaria incertae sedis","Teleostei"
"Pagellus bellottii","Eupercaria incertae sedis","Teleostei"
"Pagellus bogaraveo","Eupercaria incertae sedis","Teleostei"
"Pagellus erythrinus","Eupercaria incertae sedis","Teleostei"
"Pagrus pagrus","Eupercaria incertae sedis","Teleostei"
"Parablennius gattorugine","Blenniiformes","Teleostei"
"Pegusa lascaris","Pleuronectiformes","Teleostei"
"Pentherichthys atratus","Lophiiformes","Teleostei"
"Perca fluviatilis","Perciformes","Teleostei"
"Pholis gunnellus","Perciformes","Teleostei"
"Phrynorhombus norvegicus","Pleuronectiformes","Teleostei"
"Phycis blennoides","Gadiformes","Teleostei"
"Platichthys flesus","Pleuronectiformes","Teleostei"
"Pleuronectes platessa","Pleuronectiformes","Teleostei"
"Pollachius pollachius","Gadiformes","Teleostei"
"Pollachius virens","Gadiformes","Teleostei"
"Polyprion americanus","Acropomatiformes","Teleostei"
"Pomatoschistus flavescens","Gobiiformes","Teleostei"
"Pomatoschistus lozanoi","Gobiiformes","Teleostei"
"Pomatoschistus microps","Gobiiformes","Teleostei"
"Pomatoschistus minutus","Gobiiformes","Teleostei"
"Pomatoschistus norvegicus","Gobiiformes","Teleostei"
"Pomatoschistus pictus","Gobiiformes","Teleostei"
"Pterycombus brama","Scombriformes","Teleostei"
"Pungitius pungitius","Perciformes","Teleostei"
"Raja brachyura","Rajiformes","Elasmobranchii"
"Raja clavata","Rajiformes","Elasmobranchii"
"Raja microocellata","Rajiformes","Elasmobranchii"
"Raja montagui","Rajiformes","Elasmobranchii"
"Raja undulata","Rajiformes","Elasmobranchii"
"Rajella fyllae","Rajiformes","Elasmobranchii"
"Rajella lintea","Rajiformes","Elasmobranchii"
"Raniceps raninus","Gadiformes","Teleostei"
"Rastrelliger kanagurta","Scombriformes","Teleostei"
"Rhombosepion elegans","Sepiida","Cephalopoda"
"Rhombosepion orbignyanum","Sepiida","Cephalopoda"
"Rondeletiola minor","Sepiolida","Cephalopoda"
"Rossia macrosoma","Sepiolida","Cephalopoda"
"Rossia palpebrosa","Sepiolida","Cephalopoda"
"Rutilus rutilus","Cypriniformes","Teleostei"
"Salmo salar","Salmoniformes","Teleostei"
"Salmo trutta","Salmoniformes","Teleostei"
"Sander lucioperca","Perciformes","Teleostei"
"Sarda sarda","Scombriformes","Teleostei"
"Sardina pilchardus","Clupeiformes","Teleostei"
"Sarpa salpa","Eupercaria incertae sedis","Teleostei"
"Schedophilus medusophagus","Scombriformes","Teleostei"
"Sciadonus galatheae","Ophidiiformes","Teleostei"
"Scomber colias","Scombriformes","Teleostei"
"Scomber japonicus","Scombriformes","Teleostei"
"Scomber scombrus","Scombriformes","Teleostei"
"Scomberesox saurus","Beloniformes","Teleostei"
"Scophthalmus maximus","Pleuronectiformes","Teleostei"
"Scophthalmus rhombus","Pleuronectiformes","Teleostei"
"Scorpaena scrofa","Perciformes","Teleostei"
"Scyliorhinus canicula","Carcharhiniformes","Elasmobranchii"
"Scyliorhinus stellaris","Carcharhiniformes","Elasmobranchii"
"Sebastes mentella","Perciformes","Teleostei"
"Sebastes norvegicus","Perciformes","Teleostei"
