"scientificname","order","class"
"Acantholabrus palloni","Eupercaria incertae sedis","Teleostei"
"Agonus cataphractus","Perciformes","Teleostei"
"Alloteuthis subulata","Myopsida","Cephalopoda"
"Alosa alosa","Clupeiformes","Teleostei"
"Alosa fallax","Clupeiformes","Teleostei"
"Amblyraja radiata","Rajiformes","Elasmobranchii"
"Ammodytes marinus","Perciformes","Teleostei"
"Ammodytes tobianus","Perciformes","Teleostei"
"Anarhichas lupus","Perciformes","Teleostei"
"Anguilla anguilla","Anguilliformes","Teleostei"
"Aphia minuta","Gobiiformes","Teleostei"
"Apletodon dentatus","Gobiesociformes","Teleostei"
"Argentina silus","Argentiniformes","Teleostei"
"Argentina sphyraena","Argentiniformes","Teleostei"
"Argyropelecus hemigymnus","Stomiiformes","Teleostei"
"Argyropelecus olfersii","Stomiiformes","Teleostei"
"Arnoglossus imperialis","Pleuronectiformes","Teleostei"
"Arnoglossus laterna","Pleuronectiformes","Teleostei"
"Arnoglossus thori","Pleuronectiformes","Teleostei"
"Artediellus atlanticus","Perciformes","Teleostei"
"Atherina presbyter","Atheriniformes","Teleostei"
"Balistes capriscus","Tetraodontiformes","Teleostei"
"Bathyraja brachyurops","Rajiformes","Elasmobranchii"
"Belone belone","Beloniformes","Teleostei"
"Belone svetovidovi","Beloniformes","Teleostei"
"Beryx decadactylus","Beryciformes","Teleostei"
"Blennius ocellaris","Blenniiformes","Teleostei"
"Boops boops","Eupercaria incertae sedis","Teleostei"
"Brama brama","Scombriformes","Teleostei"
"Brosme brosme","Gadiformes","Teleostei"
"Buenia jeffreysii","Gobiiformes","Teleostei"
"Buglossidium luteum","Pleuronectiformes","Teleostei"
"Callionymus lyra","Callionymiformes","Teleostei"
"Callionymus maculatus","Callionymiformes","Teleostei"
"Callionymus reticulatus","Callionymiformes","Teleostei"
"Capros aper","Acanthuriformes","Teleostei"
"Carapus acus","Ophidiiformes","Teleostei"
"Centrolabrus exoletus","Eupercaria incertae sedis","Teleostei"
"Centrolophus niger","Scombriformes","Teleostei"
"Cepola macrophthalma","Eupercaria incertae sedis","Teleostei"
"Cetorhinus maximus","Lamniformes","Elasmobranchii"
"Chelidonichthys cuculus","Perciformes","Teleostei"
"Chelidonichthys lastoviza","Perciformes","Teleostei"
"Chelidonichthys lucerna","Perciformes","Teleostei"
"Chelon labrosus","Mugiliformes","Teleostei"
"Chelon ramada","Mugiliformes","Teleostei"
"Chirolophis ascanii","Perciformes","Teleostei"
"Ciliata mustela","Gadiformes","Teleostei"
"Ciliata septentrionalis","Gadiformes","Teleostei"
"Clupea harengus","Clupeiformes","Teleostei"
"Coelorinchus caelorhincus","Gadiformes","Teleostei"
"Conger conger","Anguilliformes","Teleostei"
"Coryphaenoides rupestris","Gadiformes","Teleostei"
"Crystallogobius linearis","Gobiiformes","Teleostei"
"Ctenolabrus rupestris","Eupercaria incertae sedis","Teleostei"
"Cyclopterus lumpus","Perciformes","Teleostei"
"Dasyatis pastinaca","Myliobatiformes","Elasmobranchii"
"Dasyatis tortonesei","Myliobatiformes","Elasmobranchii"
"Dicentrarchus labrax","Eupercaria incertae sedis","Teleostei"
"Diplecogaster bimaculata","Gobiesociformes","Teleostei"
"Dipturus batis","Rajiformes","Elasmobranchii"
"Dipturus flossada","Rajiformes","Elasmobranchii"
"Dipturus intermedius","Rajiformes","Elasmobranchii"
