"scientificname","order","class"
"Abralia veranyi","Oegopsida","Cephalopoda"
"Acantholabrus palloni","Eupercaria incertae sedis","Teleostei"
"Aetomylaeus bovinus","Myliobatiformes","Elasmobranchii"
"Aldrovandia phalacra","Notacanthiformes","Teleostei"
"Alepocephalus agassizii","Alepocephaliformes","Teleostei"
"Alepocephalus bairdii","Alepocephaliformes","Teleostei"
"Alepocephalus rostratus","Alepocephaliformes","Teleostei"
"Alloteuthis media","Myopsida","Cephalopoda"
"Alloteuthis subulata","Myopsida","Cephalopoda"
"Alopias superciliosus","Lamniformes","Elasmobranchii"
"Alosa alosa","Clupeiformes","Teleostei"
"Alosa fallax","Clupeiformes","Teleostei"
"Ammodytes marinus","Perciformes","Teleostei"
"Ammodytes tobianus","Perciformes","Teleostei"
"Anguilla anguilla","Anguilliformes","Teleostei"
"Anthias anthias","Perciformes","Teleostei"
"Antigonia capros","Acanthuriformes","Teleostei"
"Aphanopus carbo","Scombriformes","Teleostei"
"Aphia minuta","Gobiiformes","Teleostei"
"Arctozenus risso","Aulopiformes","Teleostei"
"Argentina silus","Argentiniformes","Teleostei"
"Argentina sphyraena","Argentiniformes","Teleostei"
"Argyropelecus aculeatus","Stomiiformes","Teleostei"
"Argyropelecus hemigymnus","Stomiiformes","Teleostei"
"Argyropelecus olfersii","Stomiiformes","Teleostei"
"Argyrosomus regius","Eupercaria incertae sedis","Teleostei"
"Ariosoma balearicum","Anguilliformes","Teleostei"
"Arnoglossus imperialis","Pleuronectiformes","Teleostei"
"Arnoglossus laterna","Pleuronectiformes","Teleostei"
"Arnoglossus rueppelii","Pleuronectiformes","Teleostei"
"Arnoglossus thori","Pleuronectiformes","Teleostei"
"Atherina presbyter","Atheriniformes","Teleostei"
"Auxis rochei","Scombriformes","Teleostei"
"Awaous commersoni","Gobiiformes","Teleostei"
"Balistes capriscus","Tetraodontiformes","Teleostei"
"Bathophilus nigerrimus","Stomiiformes","Teleostei"
"Bathypolypus arcticus","Octopoda","Cephalopoda"
"Bathypolypus sponsalis","Octopoda","Cephalopoda"
"Bathypterois dubius","Aulopiformes","Teleostei"
"Bathyraja brachyurops","Rajiformes","Elasmobranchii"
"Bathysolea profundicola","Pleuronectiformes","Teleostei"
"Bathytoshia centroura","Myliobatiformes","Elasmobranchii"
"Belone belone","Beloniformes","Teleostei"
"Benthocometes robustus","Ophidiiformes","Teleostei"
"Benthodesmus elongatus","Scombriformes","Teleostei"
"Benthodesmus simonyi","Scombriformes","Teleostei"
"Benthosema glaciale","Myctophiformes","Teleostei"
"Beryx decadactylus","Beryciformes","Teleostei"
"Beryx splendens","Beryciformes","Teleostei"
"Blennius ocellaris","Blenniiformes","Teleostei"
"Boops boops","Eupercaria incertae sedis","Teleostei"
"Brama brama","Scombriformes","Teleostei"
"Buenia jeffreysii","Gobiiformes","Teleostei"
"Buenia massutii","Gobiiformes","Teleostei"
"Buglossidium luteum","Pleuronectiformes","Teleostei"
"Callanthias ruber","Eupercaria incertae sedis","Teleostei"
"Callionymus lyra","Callionymiformes","Teleostei"
"Callionymus maculatus","Callionymiformes","Teleostei"
"Callionymus reticulatus","Callionymiformes","Teleostei"
"Callionymus risso","Callionymiformes","Teleostei"
"Capros aper","Acanthuriformes","Teleostei"
"Caranx rhonchus","Carangiformes","Teleostei"
"Carapus acus","Ophidiiformes","Teleostei"
"Cataetyx alleni","Ophidiiformes","Teleostei"
"Centrolabrus exoletus","Eupercaria incertae sedis","Teleostei"
"Centrolophus niger","Scombriformes","Teleostei"
"Centrophorus granulosus","Squaliformes","Elasmobranchii"
"Centrophorus squamosus","Squaliformes","Elasmobranchii"
"Centroscyllium fabricii","Squaliformes","Elasmobranchii"
"Cepola macrophthalma","Eupercaria incertae sedis","Teleostei"
"Ceratoscopelus maderensis","Myctophiformes","Teleostei"
"Chauliodus sloani","Stomiiformes","Teleostei"
"Chaunax pictus","Lophiiformes","Teleostei"
"Chelidonichthys cuculus","Perciformes","Teleostei"
"Chelidonichthys lastoviza","Perciformes","Teleostei"
"Chelidonichthys lucerna","Perciformes","Teleostei"
"Chelidonichthys obscurus","Perciformes","Teleostei"
"Chelon auratus","Mugiliformes","Teleostei"
"Chelon labrosus","Mugiliformes","Teleostei"
"Chelon ramada","Mugiliformes","Teleostei"
"Chlorophthalmus agassizi","Aulopiformes","Teleostei"
"Ciliata mustela","Gadiformes","Teleostei"
"Citharus linguatula","Pleuronectiformes","Teleostei"
"Clupea harengus","Clupeiformes","Teleostei"
"Coelorinchus caelorhincus","Gadiformes","Teleostei"
"Coelorinchus labiatus","Gadiformes","Teleostei"
"Conger conger","Anguilliformes","Teleostei"
"Coris julis","Eupercaria incertae sedis","Teleostei"
"Coryphaenoides rupestris","Gadiformes","Teleostei"
"Crystallogobius linearis","Gobiiformes","Teleostei"
"Ctenolabrus rupestris","Eupercaria incertae sedis","Teleostei"
"Cubiceps gracilis","Scombriformes","Teleostei"
"Cyclothone microdon","Stomiiformes","Teleostei"
"Cyttopsis rosea","Zeiformes","Teleostei"
"Dalatias licha","Squaliformes","Elasmobranchii"
"Dasyatis pastinaca","Myliobatiformes","Elasmobranchii"
"Dasyatis tortonesei","Myliobatiformes","Elasmobranchii"
"Deania calceus","Squaliformes","Elasmobranchii"
"Deania profundorum","Squaliformes","Elasmobranchii"
"Deltentosteus quadrimaculatus","Gobiiformes","Teleostei"
"Dentex canariensis","Eupercaria incertae sedis","Teleostei"
"Dentex dentex","Eupercaria incertae sedis","Teleostei"
"Dentex gibbosus","Eupercaria incertae sedis","Teleostei"
"Dentex macrophthalmus","Eupercaria incertae sedis","Teleostei"
"Dentex maroccanus","Eupercaria incertae sedis","Teleostei"
"Diaphus adenomus","Myctophiformes","Teleostei"
"Diaphus dumerilii","Myctophiformes","Teleostei"
"Diaphus metopoclampus","Myctophiformes","Teleostei"
"Diaphus rafinesquii","Myctophiformes","Teleostei"
"Diaphus termophilus","Myctophiformes","Teleostei"
"Dicentrarchus labrax","Eupercaria incertae sedis","Teleostei"
"Dicentrarchus punctatus","Eupercaria incertae sedis","Teleostei"
"Dicologlossa cuneata","Pleuronectiformes","Teleostei"
"Diplodus annularis","Eupercaria incertae sedis","Teleostei"
"Diplodus bellottii","Eupercaria incertae sedis","Teleostei"
"Diplodus cervinus","Eupercaria incertae sedis","Teleostei"
"Diplodus puntazzo","Eupercaria incertae sedis","Teleostei"
"Diplodus sargus","Eupercaria incertae sedis","Teleostei"
"Diplodus vulgaris","Eupercaria incertae sedis","Teleostei"
"Dipturus batis","Rajiformes","Elasmobranchii"
"Dipturus flossada","Rajiformes","Elasmobranchii"
"Dipturus intermedius","Rajiformes","Elasmobranchii"
"Dipturus nidarosiensis","Rajiformes","Elasmobranchii"
"Dipturus oxyrinchus","Rajiformes","Elasmobranchii"
"Diretmichthys parini","Trachichthyiformes","Teleostei"
"Dysomma brevirostre","Anguilliformes","Teleostei"
"Echelus myrus","Anguilliformes","Teleostei"
"Echiichthys vipera","Perciformes","Teleostei"
"Echiodon dentatus","Ophidiiformes","Teleostei"
"Echiodon drummondii","Ophidiiformes","Teleostei"
"Electrona risso","Myctophiformes","Teleostei"
"Eledone cirrhosa","Octopoda","Cephalopoda"
"Eledone moschata","Octopoda","Cephalopoda"
"Enchelyopus cimbrius","Gadiformes","Teleostei"
"Engraulis encrasicolus","Clupeiformes","Teleostei"
"Engraulis maeoticus","Clupeiformes","Teleostei"
"Entelurus aequoreus","Syngnathiformes","Teleostei"
"Ephippion guttifer","Tetraodontiformes","Teleostei"
"Epigonus constanciae","Acropomatiformes","Teleostei"
"Epigonus denticulatus","Acropomatiformes","Teleostei"
"Epigonus telescopus","Acropomatiformes","Teleostei"
"Etmopterus princeps","Squaliformes","Elasmobranchii"
"Etmopterus pusillus","Squaliformes","Elasmobranchii"
"Etmopterus spinax","Squaliformes","Elasmobranchii"
"Eutrigla gurnardus","Perciformes","Teleostei"
"Facciolella oxyrhynchus","Anguilliformes","Teleostei"
"Gadella maraldi","Gadiformes","Teleostei"
"Gadiculus argenteus","Gadiformes","Teleostei"
"Gadomus longifilis","Gadiformes","Teleostei"
"Gadus morhua","Gadiformes","Teleostei"
"Gaidropsarus macrophthalmus","Gadiformes","Teleostei"
"Gaidropsarus mediterraneus","Gadiformes","Teleostei"
"Gaidropsarus vulgaris","Gadiformes","Teleostei"
"Galeorhinus galeus","Carcharhiniformes","Elasmobranchii"
"Galeus atlanticus","Carcharhiniformes","Elasmobranchii"
"Galeus melastomus","Carcharhiniformes","Elasmobranchii"
"Glossanodon leioglossus","Argentiniformes","Teleostei"
"Glyptocephalus cynoglossus","Pleuronectiformes","Teleostei"
"Gnathophis mystax","Anguilliformes","Teleostei"
"Gobius gasteveni","Gobiiformes","Teleostei"
"Gobius niger","Gobiiformes","Teleostei"
"Gonostoma denudatum","Stomiiformes","Teleostei"
"Grammicolepis brachiusculus","Zeiformes","Teleostei"
"Gymnammodytes semisquamatus","Perciformes","Teleostei"
"Halargyreus johnsonii","Gadiformes","Teleostei"
"Halobatrachus didactylus","Batrachoidiformes","Teleostei"
"Halosaurus ovenii","Notacanthiformes","Teleostei"
"Helicolenus dactylopterus","Perciformes","Teleostei"
"Heptranchias perlo","Hexanchiformes","Elasmobranchii"
"Hexanchus griseus","Hexanchiformes","Elasmobranchii"
"Hippocampus guttulatus","Syngnathiformes","Teleostei"
"Hippocampus hippocampus","Syngnathiformes","Teleostei"
"Histioteuthis reversa","Oegopsida","Cephalopoda"
"Holtbyrnia macrops","Alepocephaliformes","Teleostei"
"Hoplostethus atlanticus","Trachichthyiformes","Teleostei"
"Hoplostethus mediterraneus","Trachichthyiformes","Teleostei"
"Howella atlantica","Acropomatiformes","Teleostei"
"Howella brodiei","Acropomatiformes","Teleostei"
"Hygophum benoiti","Myctophiformes","Teleostei"
"Hymenocephalus italicus","Gadiformes","Teleostei"
"Hymenogadus gracilis","Gadiformes","Teleostei"
"Hyperoplus immaculatus","Perciformes","Teleostei"
"Hyperoplus lanceolatus","Perciformes","Teleostei"
"Ichthyococcus ovatus","Stomiiformes","Teleostei"
"Ijimaia loppei","Ateleopodiformes","Teleostei"
"Illex coindetii","Oegopsida","Cephalopoda"
"Isurus oxyrinchus","Lamniformes","Elasmobranchii"
"Labrus bergylta","Eupercaria incertae sedis","Teleostei"
"Labrus mixtus","Eupercaria incertae sedis","Teleostei"
"Lampadena speculigera","Myctophiformes","Teleostei"
"Lampanyctus crocodilus","Myctophiformes","Teleostei"
"Lampanyctus intricarius","Myctophiformes","Teleostei"
"Lappanella fasciata","Eupercaria incertae sedis","Teleostei"
"Lepadogaster candolii","Gobiesociformes","Teleostei"
"Lepidion lepidion","Gadiformes","Teleostei"
"Lepidopus caudatus","Scombriformes","Teleostei"
"Lepidorhombus boscii","Pleuronectiformes","Teleostei"
"Lepidorhombus whiffiagonis","Pleuronectiformes","Teleostei"
"Lepidotrigla cavillone","Perciformes","Teleostei"
"Lepidotrigla dieuzeidei","Perciformes","Teleostei"
"Leptoderma macrops","Alepocephaliformes","Teleostei"
"Lestidiops jayakari","Aulopiformes","Teleostei"
"Lesueurigobius friesii","Gobiiformes","Teleostei"
"Lesueurigobius sanzi","Gobiiformes","Teleostei"
"Lesueurigobius suerii","Gobiiformes","Teleostei"
"Leucoraja circularis","Rajiformes","Elasmobranchii"
"Leucoraja fullonica","Rajiformes","Elasmobranchii"
"Leucoraja naevus","Rajiformes","Elasmobranchii"
"Limanda limanda","Pleuronectiformes","Teleostei"
"Lithognathus mormyrus","Eupercaria incertae sedis","Teleostei"
"Lobianchia dofleini","Myctophiformes","Teleostei"
"Lobianchia gemellarii","Myctophiformes","Teleostei"
"Loligo forbesii","Myopsida","Cephalopoda"
"Loligo vulgaris","Myopsida","Cephalopoda"
"Lophius budegassa","Lophiiformes","Teleostei"
"Lophius piscatorius","Lophiiformes","Teleostei"
"Macroparalepis affinis","Aulopiformes","Teleostei"
"Macroramphosus scolopax","Syngnathiformes","Teleostei"
"Macrotritopus defilippi","Octopoda","Cephalopoda"
"Macrourus berglax","Gadiformes","Teleostei"
"Malacocephalus laevis","Gadiformes","Teleostei"
"Maurolicus muelleri","Stomiiformes","Teleostei"
"Melanogrammus aeglefinus","Gadiformes","Teleostei"
"Melanonus zugmayeri","Gadiformes","Teleostei"
"Melanostigma atlanticum","Perciformes","Teleostei"
"Melanostomias bartonbeani","Stomiiformes","Teleostei"
"Merlangius merlangus","Gadiformes","Teleostei"
"Merluccius merluccius","Gadiformes","Teleostei"
"Microchirus azevia","Pleuronectiformes","Teleostei"
"Microchirus boscanion","Pleuronectiformes","Teleostei"
"Microchirus ocellatus","Pleuronectiformes","Teleostei"
"Microchirus theophila","Pleuronectiformes","Teleostei"
"Microchirus variegatus","Pleuronectiformes","Teleostei"
"Micromesistius poutassou","Gadiformes","Teleostei"
"Microstomus kitt","Pleuronectiformes","Teleostei"
"Mola mola","Tetraodontiformes","Teleostei"
"Molva dypterygia","Gadiformes","Teleostei"
"Molva macrophthalma","Gadiformes","Teleostei"
"Molva molva","Gadiformes","Teleostei"
"Monochirus hispidus","Pleuronectiformes","Teleostei"
"Monomitopus metriostoma","Ophidiiformes","Teleostei"
"Mora moro","Gadiformes","Teleostei"
"Mugil cephalus","Mugiliformes","Teleostei"
"Mullus barbatus","Mulliformes","Teleostei"
"Mullus surmuletus","Mulliformes","Teleostei"
"Muraena helena","Anguilliformes","Teleostei"
"Mustelus asterias","Carcharhiniformes","Elasmobranchii"
"Mustelus mustelus","Carcharhiniformes","Elasmobranchii"
"Myctophum punctatum","Myctophiformes","Teleostei"
"Myliobatis aquila","Myliobatiformes","Elasmobranchii"
"Naucrates ductor","Carangiformes","Teleostei"
"Nemichthys scolopaceus","Anguilliformes","Teleostei"
"Neoraja caerulea","Rajiformes","Elasmobranchii"
"Neoraja iberica","Rajiformes","Elasmobranchii"
"Neorossia caroli","Sepiolida","Cephalopoda"
"Neoscopelus macrolepidotus","Myctophiformes","Teleostei"
"Nerophis lumbriciformis","Syngnathiformes","Teleostei"
"Nerophis ophidion","Syngnathiformes","Teleostei"
"Nesiarchus nasutus","Scombriformes","Teleostei"
"Nettastoma melanura","Anguilliformes","Teleostei"
"Nezumia aequalis","Gadiformes","Teleostei"
"Nezumia bairdii","Gadiformes","Teleostei"
"Nezumia sclerorhynchus","Gadiformes","Teleostei"
"Notacanthus bonaparte","Notacanthiformes","Teleostei"
"Notacanthus chemnitzii","Notacanthiformes","Teleostei"
"Notoscopelus bolini","Myctophiformes","Teleostei"
"Notoscopelus elongatus","Myctophiformes","Teleostei"
"Notoscopelus kroyeri","Myctophiformes","Teleostei"
"Oblada melanurus","Eupercaria incertae sedis","Teleostei"
"Octopus salutii","Octopoda","Cephalopoda"
"Octopus vulgaris","Octopoda","Cephalopoda"
"Ophichthus rufus","Anguilliformes","Teleostei"
"Ophidion barbatum","Ophidiiformes","Teleostei"
"Ophisurus serpens","Anguilliformes","Teleostei"
"Opisthoteuthis agassizii","Octopoda","Cephalopoda"
"Oxynotus paradoxus","Squaliformes","Elasmobranchii"
"Pagellus acarne","Eupercaria incertae sedis","Teleostei"
"Pagellus bellottii","Eupercaria incertae sedis","Teleostei"
"Pagellus bogaraveo","Eupercaria incertae sedis","Teleostei"
"Pagellus erythrinus","Eupercaria incertae sedis","Teleostei"
"Pagrus auriga","Eupercaria incertae sedis","Teleostei"
"Pagrus pagrus","Eupercaria incertae sedis","Teleostei"
"Parablennius gattorugine","Blenniiformes","Teleostei"
"Paralepis coregonoides","Aulopiformes","Teleostei"
"Paraliparis membranaceus","Perciformes","Teleostei"
"Pegusa lascaris","Pleuronectiformes","Teleostei"
"Peristedion cataphractum","Perciformes","Teleostei"
"Phrynorhombus norvegicus","Pleuronectiformes","Teleostei"
"Phycis blennoides","Gadiformes","Teleostei"
"Phycis phycis","Gadiformes","Teleostei"
"Platichthys flesus","Pleuronectiformes","Teleostei"
"Plectorhinchus mediterraneus","Eupercaria incertae sedis","Teleostei"
"Pleuronectes platessa","Pleuronectiformes","Teleostei"
"Pollachius pollachius","Gadiformes","Teleostei"
"Pollachius virens","Gadiformes","Teleostei"
"Polyacanthonotus rissoanus","Notacanthiformes","Teleostei"
"Polymetme corythaeola","Stomiiformes","Teleostei"
"Polymetme thaeocoryla","Stomiiformes","Teleostei"
"Polyprion americanus","Acropomatiformes","Teleostei"
"Pomadasys incisus","Eupercaria incertae sedis","Teleostei"
"Pomatomus saltatrix","Scombriformes","Teleostei"
"Pomatoschistus lozanoi","Gobiiformes","Teleostei"
"Pomatoschistus microps","Gobiiformes","Teleostei"
"Pomatoschistus minutus","Gobiiformes","Teleostei"
"Pomatoschistus norvegicus","Gobiiformes","Teleostei"
"Pomatoschistus pictus","Gobiiformes","Teleostei"
"Pontinus kuhlii","Perciformes","Teleostei"
"Protomyctophum arcticum","Myctophiformes","Teleostei"
"Raja asterias","Rajiformes","Elasmobranchii"
"Raja brachyura","Rajiformes","Elasmobranchii"
"Raja clavata","Rajiformes","Elasmobranchii"
"Raja microocellata","Rajiformes","Elasmobranchii"
"Raja miraletus","Rajiformes","Elasmobranchii"
"Raja montagui","Rajiformes","Elasmobranchii"
"Raja polystigma","Rajiformes","Elasmobranchii"
"Raja undulata","Rajiformes","Elasmobranchii"
"Raniceps raninus","Gadiformes","Teleostei"
"Remora brachyptera","Carangiformes","Teleostei"
"Remora remora","Carangiformes","Teleostei"
"Rhombosepion elegans","Sepiida","Cephalopoda"
"Rhombosepion orbignyanum","Sepiida","Cephalopoda"
"Rondeletiola minor","Sepiolida","Cephalopoda"
"Rossia macrosoma","Sepiolida","Cephalopoda"
"Rossia palpebrosa","Sepiolida","Cephalopoda"
"Rostroraja alba","Rajiformes","Elasmobranchii"
"Ruvettus pretiosus","Scombriformes","Teleostei"
"Sarda sarda","Scombriformes","Teleostei"
"Sardina pilchardus","Clupeiformes","Teleostei"
"Sardinella aurita","Clupeiformes","Teleostei"
"Sarpa salpa","Eupercaria incertae sedis","Teleostei"
"Scaeurgus unicirrhus","Octopoda","Cephalopoda"
"Sciaena umbra","Eupercaria incertae sedis","Teleostei"
"Scomber colias","Scombriformes","Teleostei"
"Scomber japonicus","Scombriformes","Teleostei"
"Scomber scombrus","Scombriformes","Teleostei"
"Scomberesox saurus","Beloniformes","Teleostei"
"Scophthalmus maximus","Pleuronectiformes","Teleostei"
