"scientificname","order","class"
"Agonus cataphractus","Perciformes","Teleostei"
"Aldrovandia affinis","Notacanthiformes","Teleostei"
"Aldrovandia phalacra","Notacanthiformes","Teleostei"
"Alepocephalus agassizii","Alepocephaliformes","Teleostei"
"Alepocephalus bairdii","Alepocephaliformes","Teleostei"
"Alepocephalus productus","Alepocephaliformes","Teleostei"
"Alepocephalus rostratus","Alepocephaliformes","Teleostei"
"Allocyttus verrucosus","Zeiformes","Teleostei"
"Alloteuthis subulata","Myopsida","Cephalopoda"
"Amblyraja jenseni","Rajiformes","Elasmobranchii"
"Amblyraja radiata","Rajiformes","Elasmobranchii"
"Ammodytes marinus","Perciformes","Teleostei"
"Ammodytes tobianus","Perciformes","Teleostei"
"Anarhichas denticulatus","Perciformes","Teleostei"
"Anarhichas lupus","Perciformes","Teleostei"
"Ancistroteuthis lichtensteinii","Oegopsida","Cephalopoda"
"Anguilla anguilla","Anguilliformes","Teleostei"
"Anoplogaster cornuta","Trachichthyiformes","Teleostei"
"Antimora rostrata","Gadiformes","Teleostei"
"Aphanopus carbo","Scombriformes","Teleostei"
"Apristurus aphyodes","Carcharhiniformes","Elasmobranchii"
"Apristurus laurussonii","Carcharhiniformes","Elasmobranchii"
"Apristurus manis","Carcharhiniformes","Elasmobranchii"
"Apristurus melanoasper","Carcharhiniformes","Elasmobranchii"
"Apristurus microps","Carcharhiniformes","Elasmobranchii"
"Arctozenus risso","Aulopiformes","Teleostei"
"Argentina silus","Argentiniformes","Teleostei"
"Argentina sphyraena","Argentiniformes","Teleostei"
"Argyropelecus gigas","Stomiiformes","Teleostei"
"Argyropelecus hemigymnus","Stomiiformes","Teleostei"
"Argyropelecus olfersii","Stomiiformes","Teleostei"
"Arnoglossus imperialis","Pleuronectiformes","Teleostei"
"Arnoglossus laterna","Pleuronectiformes","Teleostei"
"Astronesthes niger","Stomiiformes","Teleostei"
"Bajacalifornia megalops","Alepocephaliformes","Teleostei"
"Bathygadus melanobranchus","Gadiformes","Teleostei"
"Bathylagus euryops","Argentiniformes","Teleostei"
"Bathypolypus sponsalis","Octopoda","Cephalopoda"
"Bathypterois dubius","Aulopiformes","Teleostei"
"Bathyraja pallida","Rajiformes","Elasmobranchii"
"Bathyraja richardsoni","Rajiformes","Elasmobranchii"
"Bathysaurus ferox","Aulopiformes","Teleostei"
"Bathysolea profundicola","Pleuronectiformes","Teleostei"
"Bellottia apoda","Ophidiiformes","Teleostei"
"Belone belone","Beloniformes","Teleostei"
"Benthalbella infans","Aulopiformes","Teleostei"
"Benthodesmus simonyi","Scombriformes","Teleostei"
"Benthosema glaciale","Myctophiformes","Teleostei"
"Beryx decadactylus","Beryciformes","Teleostei"
"Beryx splendens","Beryciformes","Teleostei"
"Blennius ocellaris","Blenniiformes","Teleostei"
"Borostomias antarcticus","Stomiiformes","Teleostei"
"Brama brama","Scombriformes","Teleostei"
"Brosme brosme","Gadiformes","Teleostei"
"Buglossidium luteum","Pleuronectiformes","Teleostei"
"Callionymus lyra","Callionymiformes","Teleostei"
"Callionymus maculatus","Callionymiformes","Teleostei"
"Callionymus reticulatus","Callionymiformes","Teleostei"
"Capros aper","Acanthuriformes","Teleostei"
"Cataetyx alleni","Ophidiiformes","Teleostei"
"Cataetyx laticeps","Ophidiiformes","Teleostei"
"Centrolophus niger","Scombriformes","Teleostei"
"Centrophorus squamosus","Squaliformes","Elasmobranchii"
"Centroscyllium fabricii","Squaliformes","Elasmobranchii"
"Centroscymnus coelolepis","Squaliformes","Elasmobranchii"
"Centroselachus crepidater","Squaliformes","Elasmobranchii"
"Ceratias holboelli","Lophiiformes","Teleostei"
"Ceratoscopelus maderensis","Myctophiformes","Teleostei"
"Chauliodus sloani","Stomiiformes","Teleostei"
"Chaunax pictus","Lophiiformes","Teleostei"
"Chelidonichthys cuculus","Perciformes","Teleostei"
"Chelidonichthys lastoviza","Perciformes","Teleostei"
"Chelidonichthys lucerna","Perciformes","Teleostei"
"Chiasmodon niger","Scombriformes","Teleostei"
"Chirolophis ascanii","Perciformes","Teleostei"
"Chirostomias pliopterus","Stomiiformes","Teleostei"
"Chlorophthalmus agassizi","Aulopiformes","Teleostei"
"Ciliata mustela","Gadiformes","Teleostei"
"Citharus linguatula","Pleuronectiformes","Teleostei"
"Clupea harengus","Clupeiformes","Teleostei"
"Coelorinchus caelorhincus","Gadiformes","Teleostei"
